kanji,frame,key word,components,on_reading,kun_reading,stroke_count,jlpt
一,1,one,,イチ; イツ,ひと-; ひと.つ,1,N5
二,2,two,,ニ; ジ,ふた; ふた.つ; ふたた.び,2,N5
三,3,three,,サン; ゾウ,み; み.つ; みっ.つ,3,N5
四,4,four,pent in; human legs,シ,よ; よ.つ; よっ.つ; よん,5,N5
五,5,five,,ゴ,いつ; いつ.つ,4,N5
六,6,six,top hat; animal legs,ロク; リク,む; む.つ; むっ.つ; むい,4,N5
七,7,seven,diced,シチ,なな; なな.つ; なの,2,N5
八,8,eight,,ハチ,や; や.つ; やっ.つ; よう,2,N5
九,9,nine,baseball,キュウ; ク,ここの; ここの.つ,2,N5
十,10,ten,needle,ジュウ; ジッ; ジュッ,とお; と,2,N5
口,11,mouth,,コウ; ク,くち,3,N4
日,12,day,sun,ニチ; ジツ,ひ; -び; -か,4,N5
月,13,month,moon; flesh; part of the body,ゲツ; ガツ,つき,4,N5
田,14,rice field,brains,デン,た,5,N4
目,15,eye,,モク; ボク,め; -め; ま-,5,N4
古,16,old,tombstone; gravestone; church; ten; needle; mouth,コ,ふる.い; ふる-; -ふる.す,5,N4
吾,17,I,five; mouth,ゴ,われ; わが-; あ-,7
冒,18,risk,sun; day; eye,ボウ,おか.す,9,N1
朋,19,companion,moon; month; flesh; part of the body,ホウ,とも,8,N1
明,20,bright,sun; day; moon; month; flesh; part of the body,メイ; ミョウ; ミン,あ.かり; あか.るい; あか.るむ; あか.らむ; あき.らか; あ.ける; -あ.け; あ.く; あ.くる; あ.かす,8,N4
唱,21,chant,mouth; prosperous; sun; day; tongue wagging,ショウ,とな.える,11,N1
晶,22,sparkle,day; sun,ショウ,,12,N1
品,23,goods,mouth,ヒン; ホン,しな,9,N4
呂,24,spine,mouth; drop,ロ; リョ,せぼね,7,N1
昌,25,prosperous,sun; day,ショウ,さかん,8,N1
早,26,early,sunflower; sun; day; ten; needle,ソウ; サッ,はや.い; はや; はや-; はや.まる; はや.める; さ-,6,N4
旭,27,rising sun,nine; baseball; sun; day,キョク,あさひ,6,N1
世,28,generation,ten; twenty,セイ; セ; ソウ,よ; さんじゅう,5,N4
胃,29,stomach,rice field; brains; moon; month; flesh; part of the body,イ,,9,N2
